"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-19","7.61",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"42",",,W","36",",,W",,,"  290",",,W","  270",",,W","16.1",",,W","33.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-20","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"40",",,W","32",",,W",,,"  290",",,W","  280",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-21","4.25",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"36",",,W","25",",,W",,,"  350",",,W","   20",",,W","10.1",",,W","15.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-22","5.59",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"40",",,W","31",",,W",,,"  310",",,W","  300",",,W","14.1",",,W","21.9",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-23","5.59",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"39",",,W","28",",,W",,,"  250",",,W","  250",",,W","14.1",",,W","19.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-24","6.04",",,W",,,"0.72",",,W,2400","3.6",",,W,","3.1",",,W,",,,"39",",,W","33",",,W",,,"  290",",,W","  290",",,W","14.1",",,W","23.9",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-25","6.26",",,W",,,"0.00",",,W,2400","0.0",",,W,","2.0",",,W,",,,"42",",,W","31",",,W",,,"  250",",,W","  260",",,W","17.0",",,W","30.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-26","12.75",",,W",,,"0.48",",,W,2400","5.5",",,W,","2.0",",,W,",,,"31",",,W","22",",,W",,,"   60",",,W","   50",",,W","23.0",",,W","34.0",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-27","8.28",",,W",,,"0.36",",,W,2400","4.3",",,W,","7.9",",,W,",,,"30",",,W","20",",,W",,,"   10",",,W","  330",",,W","17.0",",,W","30.0",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-28","7.61",",,W",,,"0.00",",,W,2400","0.0",",,W,","7.9",",,W,",,,"34",",,W","16",",,W",,,"  310",",,W","  310",",,W","16.1",",,W","23.9",",,W",,,,,,,,,,,,
